route_id,route_short_name,route_long_name,route_type,route_type_label,direction_id,direction_name,direction_label,origin_terminal,destination_terminal,representative_headsign,dominant_terminal_pair_share_pct,aggregation,street,street_share_pct,street_length_m
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,Sacramento Street,47.114,3396.2
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,California Street,45.471,3741.8
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,32nd Avenue,3.237,282.3
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,Drumm Street,1.391,100.9
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,Steiner Street,1.391,100.9
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,Walnut Street,0.675,34.6
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,Geary Boulevard,0.522,45.9
1,1,CALIFORNIA,3,bus,0,Outbound,Outbound,Clay St & Drumm St,Geary Blvd & 33rd Ave,Geary + 33rd Avenue,63.207,scheduled,Clay Street,0.199,14.4
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,California Street,45.151,3639.7
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Clay Street,35.378,2446.4
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Sacramento Street,12.125,838.5
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,33rd Avenue,1.622,138.9
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,32nd Avenue,1.506,128.9
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Steiner Street,1.439,99.5
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Gough Street,1.254,86.3
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Clement Street,0.811,69.4
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Presidio Avenue,0.6,28.6
1,1,CALIFORNIA,3,bus,1,Inbound,Inbound,Geary Blvd & 33rd Ave,Clay St & Drumm St,Drumm + Clay,60.862,scheduled,Geary Boulevard,0.116,9.9
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Folsom Street,18.388,1931.7
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Pacific Avenue,18.003,1170.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Harrison Street,12.88,1353.1
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Spear Street,12.177,712.2
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Broadway,11.079,720.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Clay Street,6.693,435.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Sansome Street,6.001,390.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Drumm Street,3.693,240.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Cesar Chavez Street,3.305,347.2
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Powell Street,1.616,105.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Van Ness Avenue,1.616,105.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Market Street,1.385,90.0
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,11th Street,1.102,115.7
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Essex Street,1.102,115.7
12,12,FOLSOM-PACIFIC,3,bus,0,Outbound,Outbound,Jackson St & Van Ness Ave,Valencia St & Cesar Chavez St,Valencia + Cesar Chavez,59.345,scheduled,Valencia Street,0.962,101.1
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Folsom Street,32.614,3222.5
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Pacific Avenue,32.16,1746.1
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Sacramento Street,7.718,420.0
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Sansome Street,7.347,407.8
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Main Street,7.315,478.0
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Drumm Street,2.756,150.0
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Jackson Street,2.749,148.1
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Cesar Chavez Street,2.342,231.4
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Mission Street,2.252,222.5
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Polk Street,1.744,98.9
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Valencia Street,0.631,62.3
12,12,FOLSOM-PACIFIC,3,bus,1,Inbound,Inbound,Valencia St & Cesar Chavez St,Jackson St & Van Ness Ave,Jackson + Van Ness,59.345,scheduled,Market Street,0.371,12.2
14,14,MISSION,3,bus,0,Outbound,Outbound,Steuart St & Mission St,Mission St & San Jose Ave,Daly City,96.561,scheduled,Mission Street,94.645,11653.0
14,14,MISSION,3,bus,0,Outbound,Outbound,Steuart St & Mission St,Mission St & San Jose Ave,Daly City,96.561,scheduled,Otis Street,3.002,376.6
14,14,MISSION,3,bus,0,Outbound,Outbound,Steuart St & Mission St,Mission St & San Jose Ave,Daly City,96.561,scheduled,San Jose Avenue,1.368,165.0
14,14,MISSION,3,bus,0,Outbound,Outbound,Steuart St & Mission St,Mission St & San Jose Ave,Daly City,96.561,scheduled,Flournoy Street,0.87,105.0
14,14,MISSION,3,bus,0,Outbound,Outbound,Steuart St & Mission St,Mission St & San Jose Ave,Daly City,96.561,scheduled,Steuart Street,0.115,14.5
14,14,MISSION,3,bus,1,Inbound,Inbound,Mission St & San Jose Ave,Steuart St & Mission St,Ferry Plaza,96.602,scheduled,Mission Street,95.42,11675.7
14,14,MISSION,3,bus,1,Inbound,Inbound,Mission St & San Jose Ave,Steuart St & Mission St,Ferry Plaza,96.602,scheduled,Market Street,1.625,202.9
14,14,MISSION,3,bus,1,Inbound,Inbound,Mission St & San Jose Ave,Steuart St & Mission St,Ferry Plaza,96.602,scheduled,Main Street,1.509,188.4
14,14,MISSION,3,bus,1,Inbound,Inbound,Mission St & San Jose Ave,Steuart St & Mission St,Ferry Plaza,96.602,scheduled,Steuart Street,1.447,180.7
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,Mission Street,88.48,11622.4
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,John Daly Boulevard,3.606,485.7
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,Otis Street,2.97,390.0
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,De Long Street,1.698,228.7
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,[UNNAMED ROAD],1.533,206.4
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,San Jose Avenue,0.992,133.6
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,Flournoy Street,0.631,85.0
14R,14R,MISSION RAPID,3,bus,0,Outbound,Outbound,Mission St & Main St,Daly City BART Station,Daly City BART,80.947,scheduled,Hillcrest Drive,0.09,12.1
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,Mission Street,89.227,12107.4
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,John Daly Boulevard,3.74,522.8
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,Market Street,1.665,225.0
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,Steuart Street,1.584,211.1
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,[UNNAMED ROAD],1.551,216.8
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,Main Street,1.443,195.0
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,De Long Street,0.639,89.3
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,Hillcrest Drive,0.091,12.8
14R,14R,MISSION RAPID,3,bus,1,Inbound,Inbound,Daly City BART Station,Mission St & Main St,Main & Mission,85.007,scheduled,Lowell Street,0.059,6.7
